date,channel,videos,subscribers,views
2025-07-06 02:24:57 UTC,Main,170,394,504914
2025-07-06 02:24:57 UTC,Fortnite,258,269,256363
2025-07-06 02:24:57 UTC,Troubleshooting,14,35,19777
2025-07-06 02:24:57 UTC,Adamsmr,54,15,19775
2025-07-06 02:24:57 UTC,AJ_Studios,11,5,5392
2025-07-07 02:21:37 UTC,Main,170,394,504941
2025-07-07 02:21:37 UTC,Fortnite,258,269,257313
2025-07-07 02:21:37 UTC,Troubleshooting,14,35,19782
2025-07-07 02:21:37 UTC,Adamsmr,54,15,19776
2025-07-07 02:21:37 UTC,AJ_Studios,11,5,5392
2025-07-08 02:10:22 UTC,Main,170,394,504986
2025-07-08 02:10:22 UTC,Fortnite,260,269,258024
2025-07-08 02:10:22 UTC,Troubleshooting,14,35,19785
2025-07-08 02:10:22 UTC,Adamsmr,55,15,19776
2025-07-08 02:10:22 UTC,AJ_Studios,11,5,5392
2025-07-09 02:15:14 UTC,Main,170,394,505037
2025-07-09 02:15:14 UTC,Fortnite,260,271,258720
2025-07-09 02:15:14 UTC,Troubleshooting,14,35,19795
2025-07-09 02:15:14 UTC,Adamsmr,55,15,19864
2025-07-09 02:15:14 UTC,AJ_Studios,11,5,5395
2025-07-10 02:17:51 UTC,Main,170,394,505072
2025-07-10 02:17:51 UTC,Fortnite,261,272,260193
2025-07-10 02:17:51 UTC,Troubleshooting,14,35,19803
2025-07-10 02:17:51 UTC,Adamsmr,55,15,19866
2025-07-10 02:17:51 UTC,AJ_Studios,11,5,5401
2025-07-11 02:20:54 UTC,Main,170,394,505146
2025-07-11 02:20:54 UTC,Fortnite,261,272,260937
2025-07-11 02:20:54 UTC,Troubleshooting,14,35,19803
2025-07-11 02:20:54 UTC,Adamsmr,55,15,19873
2025-07-11 02:20:54 UTC,AJ_Studios,11,5,5401
2025-07-12 02:21:19 UTC,Main,170,394,505174
2025-07-12 02:21:19 UTC,Fortnite,261,272,262209
2025-07-12 02:21:19 UTC,Troubleshooting,14,35,19805
2025-07-12 02:21:19 UTC,Adamsmr,55,15,19874
2025-07-12 02:21:19 UTC,AJ_Studios,11,5,5401
2025-07-13 02:29:49 UTC,Main,170,394,505248
2025-07-13 02:29:49 UTC,Fortnite,261,273,262209
2025-07-13 02:29:49 UTC,Troubleshooting,14,35,19808
2025-07-13 02:29:49 UTC,Adamsmr,55,15,19877
2025-07-13 02:29:49 UTC,AJ_Studios,11,6,5401
2025-07-14 02:25:07 UTC,Main,170,394,505284
2025-07-14 02:25:07 UTC,Fortnite,262,273,262218
2025-07-14 02:25:07 UTC,Troubleshooting,14,35,19812
2025-07-14 02:25:07 UTC,Adamsmr,55,15,19878
2025-07-14 02:25:07 UTC,AJ_Studios,11,6,5401
2025-07-15 02:24:36 UTC,Main,170,394,505325
2025-07-15 02:24:36 UTC,Fortnite,262,273,262218
2025-07-15 02:24:36 UTC,Troubleshooting,14,35,19816
2025-07-15 02:24:36 UTC,Adamsmr,55,15,19880
2025-07-15 02:24:36 UTC,AJ_Studios,12,6,5552
2025-07-16 02:21:26 UTC,Main,170,394,505357
2025-07-16 02:21:26 UTC,Fortnite,261,273,262639
2025-07-16 02:21:26 UTC,Troubleshooting,14,35,19818
2025-07-16 02:21:26 UTC,Adamsmr,55,15,19880
2025-07-16 02:21:26 UTC,AJ_Studios,12,6,6131
2025-07-17 02:22:00 UTC,Main,170,394,505431
2025-07-17 02:22:00 UTC,Fortnite,261,273,262651
2025-07-17 02:22:00 UTC,Troubleshooting,14,35,19822
2025-07-17 02:22:00 UTC,Adamsmr,55,15,19880
2025-07-17 02:22:00 UTC,AJ_Studios,12,6,7442
2025-07-18 02:23:32 UTC,Main,170,394,505450
2025-07-18 02:23:32 UTC,Fortnite,262,273,262655
2025-07-18 02:23:32 UTC,Troubleshooting,14,35,19827
2025-07-18 02:23:32 UTC,Adamsmr,55,15,19880
2025-07-18 02:23:32 UTC,AJ_Studios,12,6,7442
2025-07-19 02:11:32 UTC,Main,170,394,505488
2025-07-19 02:11:32 UTC,Fortnite,262,273,262657
2025-07-19 02:11:32 UTC,Troubleshooting,14,35,19827
2025-07-19 02:11:32 UTC,Adamsmr,55,15,19885
2025-07-19 02:11:32 UTC,AJ_Studios,12,6,7442
2025-07-20 02:32:26 UTC,Main,170,394,505553
2025-07-20 02:32:26 UTC,Fortnite,262,273,262659
2025-07-20 02:32:26 UTC,Troubleshooting,14,35,19828
2025-07-20 02:32:26 UTC,Adamsmr,55,15,19885
2025-07-20 02:32:26 UTC,AJ_Studios,12,6,7442
2025-07-21 02:28:54 UTC,Main,170,394,505592
2025-07-21 02:28:54 UTC,Fortnite,262,273,262660
2025-07-21 02:28:54 UTC,Troubleshooting,14,35,19829
2025-07-21 02:28:54 UTC,Adamsmr,55,15,19888
2025-07-21 02:28:54 UTC,AJ_Studios,12,6,7442
2025-07-22 02:22:48 UTC,Main,170,394,505659
2025-07-22 02:22:48 UTC,Fortnite,262,273,262661
2025-07-22 02:22:48 UTC,Troubleshooting,14,35,19829
2025-07-22 02:22:48 UTC,Adamsmr,55,15,19891
2025-07-22 02:22:48 UTC,AJ_Studios,12,6,7443
2025-07-23 02:24:06 UTC,Main,170,394,505692
2025-07-23 02:24:06 UTC,Fortnite,262,273,262662
2025-07-23 02:24:06 UTC,Troubleshooting,14,35,19830
2025-07-23 02:24:06 UTC,Adamsmr,56,15,20076
2025-07-23 02:24:06 UTC,AJ_Studios,12,6,7446
2025-07-24 02:23:12 UTC,Main,170,394,505732
2025-07-24 02:23:12 UTC,Fortnite,262,273,262662
2025-07-24 02:23:12 UTC,Troubleshooting,14,35,19830
2025-07-24 02:23:12 UTC,Adamsmr,56,15,20082
2025-07-24 02:23:12 UTC,AJ_Studios,12,6,7454
2025-07-25 02:22:44 UTC,Main,170,394,505775
2025-07-25 02:22:44 UTC,Fortnite,262,273,262662
2025-07-25 02:22:44 UTC,Troubleshooting,14,35,19835
2025-07-25 02:22:44 UTC,Adamsmr,56,15,20099
2025-07-25 02:22:44 UTC,AJ_Studios,12,6,7455
2025-07-26 02:19:03 UTC,Main,170,394,505819
2025-07-26 02:19:03 UTC,Fortnite,262,273,262664
2025-07-26 02:19:03 UTC,Troubleshooting,14,35,19837
2025-07-26 02:19:03 UTC,Adamsmr,56,15,20101
2025-07-26 02:19:03 UTC,AJ_Studios,12,6,7455
2025-07-27 02:33:19 UTC,Main,170,394,505851
2025-07-27 02:33:19 UTC,Fortnite,262,273,262666
2025-07-27 02:33:19 UTC,Troubleshooting,14,35,19840
2025-07-27 02:33:19 UTC,Adamsmr,56,15,20106
2025-07-27 02:33:19 UTC,AJ_Studios,12,6,7455
2025-07-28 02:29:44 UTC,Main,170,394,505923
2025-07-28 02:29:44 UTC,Fortnite,262,273,262667
2025-07-28 02:29:44 UTC,Troubleshooting,14,35,19842
2025-07-28 02:29:44 UTC,Adamsmr,56,15,20116
2025-07-28 02:29:44 UTC,AJ_Studios,12,6,7455
2025-07-29 02:34:44 UTC,Main,170,394,505934
2025-07-29 02:34:44 UTC,Fortnite,264,273,262670
2025-07-29 02:34:44 UTC,Troubleshooting,14,35,19846
2025-07-29 02:34:44 UTC,Adamsmr,56,15,20120
2025-07-29 02:34:44 UTC,AJ_Studios,12,6,7455
2025-07-30 02:26:12 UTC,Main,170,394,505976
2025-07-30 02:26:12 UTC,Fortnite,264,273,262806
2025-07-30 02:26:12 UTC,Troubleshooting,14,35,19849
2025-07-30 02:26:12 UTC,Adamsmr,56,15,20129
2025-07-30 02:26:12 UTC,AJ_Studios,12,6,7458
2025-07-31 02:25:23 UTC,Main,170,394,506035
2025-07-31 02:25:23 UTC,Fortnite,264,273,263825
2025-07-31 02:25:23 UTC,Troubleshooting,14,35,19850
2025-07-31 02:25:23 UTC,Adamsmr,56,15,20130
2025-07-31 02:25:23 UTC,AJ_Studios,12,6,7458
2025-08-01 02:37:18 UTC,Main,171,394,506090
2025-08-01 02:37:18 UTC,Fortnite,265,274,263902
2025-08-01 02:37:18 UTC,Troubleshooting,14,35,19852
2025-08-01 02:37:18 UTC,Adamsmr,56,15,20135
2025-08-01 02:37:18 UTC,AJ_Studios,12,6,7458
2025-08-02 02:19:44 UTC,Main,171,394,507640
2025-08-02 02:19:44 UTC,Fortnite,265,274,264804
2025-08-02 02:19:44 UTC,Troubleshooting,14,35,19853
2025-08-02 02:19:44 UTC,Adamsmr,56,15,20155
2025-08-02 02:19:44 UTC,AJ_Studios,12,6,7458
2025-08-03 02:35:50 UTC,Main,171,394,507684
2025-08-03 02:35:50 UTC,Fortnite,265,274,264810
2025-08-03 02:35:50 UTC,Troubleshooting,14,35,19862
2025-08-03 02:35:50 UTC,Adamsmr,56,15,20168
2025-08-03 02:35:50 UTC,AJ_Studios,12,6,7458
2025-08-04 02:35:08 UTC,Main,172,394,507763
2025-08-04 02:35:08 UTC,Fortnite,265,274,264810
2025-08-04 02:35:08 UTC,Troubleshooting,14,35,19862
2025-08-04 02:35:08 UTC,Adamsmr,56,15,20168
2025-08-04 02:35:08 UTC,AJ_Studios,12,6,7460
2025-08-05 02:28:44 UTC,Main,172,395,507793
2025-08-05 02:28:44 UTC,Fortnite,265,274,264810
2025-08-05 02:28:44 UTC,Troubleshooting,14,35,19870
2025-08-05 02:28:44 UTC,Adamsmr,56,15,20176
2025-08-05 02:28:44 UTC,AJ_Studios,12,6,7463
2025-08-06 02:26:48 UTC,Main,172,395,507938
2025-08-06 02:26:48 UTC,Fortnite,265,274,264811
2025-08-06 02:26:48 UTC,Troubleshooting,14,35,19873
2025-08-06 02:26:48 UTC,Adamsmr,56,15,20180
2025-08-06 02:26:48 UTC,AJ_Studios,12,6,7463
2025-08-07 02:27:04 UTC,Main,172,395,508519
2025-08-07 02:27:04 UTC,Fortnite,265,274,264811
2025-08-07 02:27:04 UTC,Troubleshooting,14,35,19875
2025-08-07 02:27:04 UTC,Adamsmr,56,15,20184
2025-08-07 02:27:04 UTC,AJ_Studios,12,6,7463
2025-08-08 02:27:02 UTC,Main,172,395,508545
2025-08-08 02:27:02 UTC,Fortnite,265,274,264812
2025-08-08 02:27:02 UTC,Troubleshooting,14,35,19879
2025-08-08 02:27:02 UTC,Adamsmr,56,15,20193
2025-08-08 02:27:02 UTC,AJ_Studios,12,6,7463
2025-08-09 02:09:02 UTC,Main,172,395,508590
2025-08-09 02:09:02 UTC,Fortnite,265,274,264813
2025-08-09 02:09:02 UTC,Troubleshooting,14,35,19882
2025-08-09 02:09:02 UTC,Adamsmr,56,15,20194
2025-08-09 02:09:02 UTC,AJ_Studios,12,6,7463
2025-08-10 02:30:56 UTC,Main,172,395,508627
2025-08-10 02:30:56 UTC,Fortnite,265,274,264813
2025-08-10 02:30:56 UTC,Troubleshooting,15,38,19887
2025-08-10 02:30:56 UTC,Adamsmr,56,15,20198
2025-08-10 02:30:56 UTC,AJ_Studios,12,6,7465
2025-08-11 02:26:37 UTC,Main,172,395,508675
2025-08-11 02:26:37 UTC,Fortnite,265,274,264813
2025-08-11 02:26:37 UTC,Troubleshooting,15,38,21845
2025-08-11 02:26:37 UTC,Adamsmr,56,15,20198
2025-08-11 02:26:37 UTC,AJ_Studios,12,6,7465
2025-08-12 02:08:36 UTC,Main,172,395,508717
2025-08-12 02:08:36 UTC,Fortnite,266,275,265800
2025-08-12 02:08:36 UTC,Troubleshooting,16,38,24072
2025-08-12 02:08:36 UTC,Adamsmr,56,15,20209
2025-08-12 02:08:36 UTC,AJ_Studios,12,6,7465
2025-08-13 02:10:04 UTC,Main,172,395,508767
2025-08-13 02:10:04 UTC,Fortnite,267,276,266516
2025-08-13 02:10:04 UTC,Troubleshooting,16,38,24444
